symbol,sic,sector
TXNM,4911,utilities
TXRH,5812,consumer
UA,2300,consumer
UAA,2300,consumer
UBSI,6022,financials
UCB,6022,financials
UCTT,3674,tech
UE,6500,financials
UFCS,6331,financials
UFPI,2421,other
UFPT,3841,healthcare
UGI,4932,utilities
UHT,6798,financials
ULS,8734,consumer
UMBF,6021,financials
UNF,7200,consumer
UNFI,5141,consumer
UNIT,4813,other
UNM,6321,financials
UPBD,7359,consumer
UPWK,7374,tech
URBN,5651,consumer
USFD,5140,consumer
USPH,8000,healthcare
UTHR,2834,healthcare
UTL,4931,utilities
UVV,5150,consumer
VAC,6531,financials
VAL,1381,energy
VC,3714,industrials
VCEL,2836,healthcare
VCTR,6282,financials
VCYT,8071,healthcare
VECO,3559,industrials
VFC,2320,consumer
VGNT,3714,industrials
VIAV,3674,tech
VICR,3679,tech
VIR,2836,healthcare
VIRT,6211,financials
VITL,2000,consumer
VLY,6021,financials
VMI,3440,industrials
VNO,6798,financials
VNOM,1311,energy
VNT,3824,industrials
VOYA,6311,financials
VRE,6798,financials
VRRM,4700,other
VRTS,6282,financials
VSAT,4899,other
VSCO,5621,consumer
VSEC,8711,consumer
VSH,3670,tech
VSNT,4833,other
VSTS,5190,consumer
VTOL,4522,other
VVV,2990,energy
VYX,3578,tech
WABC,6021,financials
WAFD,6021,financials
WAL,6022,financials
WAY,7373,tech
WBS,6021,financials
WCC,5063,consumer
WD,6199,financials
WDFC,2890,materials
WEN,5810,consumer
WERN,4213,other
WEX,7389,consumer
WFRD,3533,industrials
WGO,3716,industrials
WH,7011,consumer
WHD,3533,industrials
WHR,3630,industrials
WINA,5900,consumer
WING,5812,consumer
WKC,5172,consumer
WLK,2860,materials
WLY,2731,other
WMG,7900,consumer
WMS,3086,other
WOR,3310,other
WPC,6798,financials
WRLD,6141,financials
WS,3310,other
WSC,7350,consumer
WSFS,6021,financials
WSO,5070,consumer
WSR,6798,financials
WT,6211,financials
WTFC,6022,financials
WTRG,4941,utilities
WTS,3490,industrials
WU,7389,consumer
WWD,3620,industrials
WWW,3140,other
XHR,7011,consumer
XNCR,2834,healthcare
XPEL,3470,industrials
XPO,4700,other
XRAY,3843,healthcare
YELP,7200,consumer
YETI,3949,industrials
YOU,7372,tech
ZD,4822,other
ZION,6021,financials
ZWS,3560,industrials
