date,nc_net,comm_net,open_interest
2020-11-10,15515,-18076,517065
2020-11-17,12760,-17027,534823
2020-11-24,203,-4281,538369
2020-12-01,-836,-2937,556009
2020-12-08,-4089,-404,578100
2020-12-15,-4378,-1805,637832
2020-12-21,-4911,-1416,495182
2020-12-29,-8835,1483,506564
2021-01-05,-10740,-1585,523123
2021-01-12,-3901,-3397,531665
2021-01-19,1718,-9905,535228
2021-01-26,-2928,-1946,539902
2021-02-02,-6282,-2433,550121
2021-02-09,-11633,6789,547257
2021-02-16,-13156,6194,552371
2021-02-23,-2397,-3769,556649
2021-03-02,7639,-17491,584840
2021-03-09,6025,-14000,585629
2021-03-16,2574,-11368,643898
2021-03-23,-5661,-5058,508037
2021-03-30,-5385,1063,529023
2021-04-06,-6151,3508,549444
2021-04-13,-5767,2828,560636
2021-04-20,-5209,448,569824
2021-04-27,5353,-8557,581117
2021-05-04,192,-5697,578570
2021-05-11,4559,-13274,568597
2021-05-18,6884,-18103,561295
2021-05-25,9934,-18226,588098
2021-06-01,11992,-21555,594184
2021-06-08,15770,-22951,606772
2021-06-15,15070,-24300,666519
2021-06-22,10019,-16433,519840
2021-06-29,10320,-14932,526777
2021-07-06,12632,-17031,535166
2021-07-13,16308,-18658,543030
2021-07-20,11038,-12224,551237
2021-07-27,13385,-16593,560457
2021-08-03,15316,-19630,568882
2021-08-10,13029,-15585,573185
2021-08-17,11143,-12394,581375
2021-08-24,13519,-14280,592348
2021-08-31,6006,-7201,601293
2021-09-07,2815,-5748,611152
2021-09-14,7665,-15560,655925
2021-09-21,9963,-21390,490636
2021-09-28,14631,-20422,491475
2021-10-05,14557,-19381,487471
2021-10-12,19756,-26633,480633
2021-10-19,13524,-17055,477317
2021-10-26,19297,-25308,480961
2021-11-02,25100,-32824,486386
2021-11-09,19512,-27384,487561
2021-11-16,22230,-30065,490979
2021-11-23,24763,-29910,491063
2021-11-30,35945,-38537,502143
2021-12-07,33079,-36585,502877
2021-12-14,33555,-40707,550927
2021-12-21,27276,-35437,452425
2021-12-28,20659,-27555,457570
2022-01-04,21806,-30471,459458
2022-01-11,15481,-26771,456734
2022-01-18,25046,-37701,461996
2022-01-25,45370,-57827,475771
2022-02-01,31750,-39308,456794
2022-02-08,35517,-40093,445982
2022-02-15,39024,-41124,454053
2022-02-22,47289,-47908,474833
2022-03-01,32204,-30971,477498
2022-03-08,25530,-24136,487109
2022-03-15,20440,-22377,516552
2022-03-22,-10834,11107,422337
2022-03-29,-10171,11664,424010
2022-04-05,-6332,4009,424471
2022-04-12,12593,-13030,431393
2022-04-19,13686,-13189,431759
2022-04-26,24550,-25170,438339
2022-05-03,10442,-11759,441735
2022-05-10,24355,-23362,452391
2022-05-17,13330,-10533,450422
2022-05-24,9778,-5764,452434
2022-05-31,4382,547,452093
2022-06-07,-3405,10372,453484
2022-06-14,6855,-5773,530880
2022-06-21,-22864,28840,452401
2022-06-28,-27845,33681,449754
2022-07-05,-36736,44325,461848
2022-07-12,-43106,49538,463516
2022-07-19,-41630,53269,467064
2022-07-26,-47527,58018,464565
2022-08-02,-46377,58627,462133
2022-08-09,-48852,62449,459878
2022-08-16,-57597,70843,469245
2022-08-23,-52455,65683,465908
2022-08-30,-47926,62363,465991
2022-09-06,-47744,60256,462858
2022-09-13,-56201,74057,520609
2022-09-20,-43890,62739,428204
2022-09-27,-30041,46593,446776
2022-10-04,-41860,49429,452257
2022-10-11,-32812,39046,455559
2022-10-18,-44640,51723,467313
2022-10-25,-43821,49530,472365
2022-11-01,-35012,39468,467342
2022-11-08,-35412,39647,463779
2022-11-15,-40529,40627,468702
2022-11-22,-38298,39037,460815
2022-11-29,-40835,40337,462905
2022-12-06,-40744,39324,457538
2022-12-13,-46025,42545,495428
2022-12-20,-31951,32144,397369
2022-12-27,-34856,35797,392262
2023-01-03,-33460,33310,402199
2023-01-10,-42634,40587,406513
2023-01-17,-45364,46232,411294
2023-01-24,-41798,40553,404887
2023-01-31,-44451,46957,412284
2023-02-07,-43509,42976,410617
2023-02-14,-49291,50227,415269
2023-02-21,-46858,48231,414897
2023-02-28,-36778,36974,422632
2023-03-07,-41897,47536,426634
2023-03-14,-23964,36640,510197
2023-03-21,-40496,53291,429801
2023-03-28,-44932,54195,428446
2023-04-04,-64292,56294,443902
2023-04-11,-61523,68403,449694
2023-04-18,-68851,71966,455664
2023-04-25,-72653,77328,453159
2023-05-02,-342860,382436,2304633
2023-05-09,-364277,398793,2325459
2023-05-16,-374645,416048,2339836
2023-05-23,-388530,421527,2420808
2023-05-30,-417792,435024,2533871
2023-06-06,-325646,350706,2544164
2023-06-13,-305675,307235,2956473
2023-06-20,-238648,250663,2233907
2023-06-27,-205023,206023,2200098
2023-07-03,-200942,206955,2227564
2023-07-11,-200726,203471,2228090
2023-07-18,-253956,237540,2301847
2023-07-25,-224270,218203,2265346
2023-08-01,-189484,186966,2263529
2023-08-08,-149071,140870,2245745
2023-08-15,-106183,96777,2246098
2023-08-22,-126298,102046,2253916
2023-08-29,-132593,125161,2291670
2023-09-05,-134516,123889,2284667
2023-09-12,-101023,87065,2547762
2023-09-19,-140410,125547,2107388
2023-09-26,-91168,65574,2150244
2023-10-03,-77088,46136,2151506
2023-10-10,-98000,69774,2088321
2023-10-17,-69896,44360,2128482
2023-10-24,1417,-33746,2176852
2023-10-31,-3449,-33397,2193182
2023-11-07,-58153,36298,2194624
2023-11-14,-56665,12219,2208240
2023-11-21,-83900,34874,2255516
2023-11-28,-68908,22775,2295420
2023-12-05,-49294,666,2330556
2023-12-12,-60221,22695,2690306
2023-12-19,-196001,124996,2167112
2023-12-26,-193727,122038,2166788
2024-01-02,-213055,127586,2234726
2024-01-09,-112306,17383,2225245
2024-01-16,-164421,104172,2233526
2024-01-23,-185900,112537,2287411
2024-01-30,-224031,145326,2326056
2024-02-06,-231862,163130,2313768
2024-02-13,-213211,152933,2355646
2024-02-20,-215689,143199,2341883
2024-02-27,-219872,141414,2365269
2024-03-05,-198969,120101,2401166
2024-03-12,-227840,141646,2704540
2024-03-19,-187506,108605,2111429
2024-03-26,-163258,74256,2128826
2024-04-02,-69356,-21689,2110281
2024-04-09,-51512,-42252,2115693
2024-04-16,82278,-185138,2124352
2024-04-23,76712,-188299,2092629
2024-04-30,50678,-148458,2031800
2024-05-07,-498,-94227,2056976
2024-05-14,-16519,-71619,2107573
2024-05-21,-13770,-90897,2176057
2024-05-28,6193,-104414,2207528
2024-06-04,-53189,-47670,2189450
2024-06-11,-97804,-12042,2296554
2024-06-18,-99893,9460,2626904
2024-06-25,-66105,-44530,1986672
2024-07-02,-12612,-96836,2047732
2024-07-09,-55709,-41900,2059456
2024-07-16,-68072,-35403,2102256
2024-07-23,-16094,-93142,2058317
2024-07-30,7739,-121460,2058295
2024-08-06,27940,-115858,2037394
2024-08-13,-29263,-44292,2046062
2024-08-20,-92158,-1235,2066099
2024-08-27,-89533,-26081,2113787
2024-09-03,-54821,-45340,2120935
2024-09-10,-65294,-11868,2169815
2024-09-17,-128087,40973,2597333
2024-09-24,-36133,-57530,2055631
2024-10-01,8000,-92223,2092048
2024-10-08,-4832,-85214,2144160
2024-10-15,30678,-128522,2199693
2024-10-22,25163,-116090,2201296
2024-10-29,68364,-176550,2184936
2024-11-05,120581,-232053,2158810
2024-11-12,33659,-159598,2255574
2024-11-19,42451,-181041,2280743
2024-11-26,-70359,-72614,2295861
2024-12-03,-99611,-37951,2303238
2024-12-10,-74116,-65371,2349247
2024-12-17,-28562,-116429,2623934
2024-12-24,-64496,-60942,2092944
2024-12-31,-57251,-80324,2069072
