symbol,market,period_end,asof_ts,revenue,operating_income,net_income,free_cash_flow,total_assets,total_equity,total_debt,shares_out,eps,source
BKNG,us,2024-12-31,2025-02-20T00:00:00,23739000000.0,,,7894000000.0,,-4020000000.0,16598000000.0,,172.69,sec_edgar:companyfacts
BKNG,us,2025-03-31,2025-04-29T00:00:00,4762000000.0,,,3162000000.0,,-6112000000.0,16024000000.0,,10.07,sec_edgar:companyfacts
BKNG,us,2025-06-30,2025-07-29T00:00:00,11560000000.0,,,6299000000.0,,-6657000000.0,18472000000.0,,37.38,sec_edgar:companyfacts
BKNG,us,2025-09-30,2025-10-28T00:00:00,20568000000.0,,,7670000000.0,,-4736000000.0,16996000000.0,,121.39,sec_edgar:companyfacts
BKNG,us,2025-12-31,2026-02-18T00:00:00,26917000000.0,,,9087000000.0,,-5578000000.0,18736000000.0,,165.57,sec_edgar:companyfacts
BKNG,us,2026-03-31,2026-04-28T00:00:00,5532000000.0,,,3108000000.0,,-8724000000.0,,,1.36,sec_edgar:companyfacts
BLK,us,2022-12-31,2025-02-25T00:00:00,11061000000.0,,5178000000.0,4423000000.0,,,,,33.97,sec_edgar:companyfacts
BLK,us,2023-09-30,2024-11-06T00:00:00,,,4127000000.0,1947000000.0,,,,,27.36,sec_edgar:companyfacts
BLK,us,2023-12-31,2025-02-25T00:00:00,11012000000.0,,5502000000.0,3821000000.0,,39347000000.0,7918000000.0,148500074.0,36.51,sec_edgar:companyfacts
BLK,us,2024-03-31,2025-05-07T00:00:00,,,1573000000.0,-472000000.0,,,,,10.48,sec_edgar:companyfacts
BLK,us,2024-06-30,2025-08-06T00:00:00,,,3068000000.0,886000000.0,,,,,20.47,sec_edgar:companyfacts
BLK,us,2024-09-30,2024-11-06T00:00:00,,,4699000000.0,2173000000.0,,41178000000.0,12370000000.0,147953572.0,31.37,sec_edgar:companyfacts
BLK,us,2024-12-31,2025-02-25T00:00:00,12794000000.0,,6369000000.0,4701000000.0,,47495000000.0,12314000000.0,154947813.0,42.01,sec_edgar:companyfacts
BLK,us,2025-03-31,2025-05-07T00:00:00,,,1510000000.0,-1206000000.0,,48036000000.0,12349000000.0,155022449.0,9.64,sec_edgar:companyfacts
BLK,us,2025-06-30,2025-08-06T00:00:00,,,3103000000.0,69000000.0,,49141000000.0,12762000000.0,154751073.0,19.83,sec_edgar:companyfacts
BLK,us,2025-09-30,2025-11-05T00:00:00,,,4426000000.0,1405000000.0,,55519000000.0,12766000000.0,155124267.0,28.21,sec_edgar:companyfacts
BLK,us,2025-12-31,2026-02-25T00:00:00,,,5553000000.0,3552000000.0,,55888000000.0,12768000000.0,155069171.0,35.31,sec_edgar:companyfacts
BLK,us,2026-03-31,2026-05-06T00:00:00,,,2212000000.0,-1086000000.0,,56688000000.0,12749000000.0,155364965.0,14.06,sec_edgar:companyfacts
BMY,us,2007-12-31,2010-02-19T00:00:00,,,2165000000.0,2310000000.0,,,,,1.09,sec_edgar:companyfacts
